Title-Code,Title Name,Hindi Title,Register Serial No,Regn No.,Owner Name,State,Publication City/District,Periodity
MPENG01335,JAGRAN LAW REVIEW,,,UR,"SCHOOL OF LAW, JAGRAN LAKECITY UNIVERSITY BHOPAL",MP,BHOPAL,HY
MPHIN23511,PATRAKAR JAGRAN,??????? ?????,102012,MPHIN/2009/29455,KIRAN TRIPATHI,MP,BHOPAL,M
MPHIN38371,MANAV JAGRAN,???? ?????,160008,MPHIN/2023/87453,TEENA SHASTRI,MP,BHOPAL,M
MPHIN27979,KRISAK JAGRAN,,115661,MPHIN/2011/43104,TRILOKI KANT SHARMA,MP,BHOPAL,W
MPHIN18323,KRISHI JAGRAN SAPTAHIK,???? ????? ?????????,83129,MPHIN/2003/10572,JAGRAN PUBLICATIONS PVT. LTD.,MP,BHOPAL,W
MPHIN37153,VANDE JAGRAN,,157884,MPHIN/2021/85329,VIJAY SINGH PANSORIYA,MP,BHOPAL,W
MPHIN12120,KAURAV JAGRAN,,63817,63817/ 96,SMT GAITRI DEVI KAURAV,MP,BHOPAL,W
MPHIN08902,SHOSIT JAGRAN,,35211,35211/ 80,KANTA PRASAD KUSHWAHA,MP,GWALIOR,F
MPHIN32233,BALMIK JAGRAN,,31280,31280/ 77,B.L. KADAM,MP,GWALIOR,W
MPHIN36680,PRADESH JAGRAN,?????? ?????,153071,MPHIN/2021/80516,ATAL SHARMA,MP,GWALIOR,W
MPBIL02575,AATM JAGRAN,???? ?????,157865,MPBIL/2022/85310,DR. ABHISHEK PRATAP SINGH,MP,GWALIOR,W
MPHIN17090,KHATIK JAGRAN,,81309,MPHIN/2002/08752,PRAKASH SONKAR,MP,INDORE,M
MPHIN19798,GOSWAMI JAGRAN,???????? ?????,93562,MPHIN/2005/21005,RAJENDER KUMAR BHARTI,MP,INDORE,M
MPHIN10818,PAL JAGRAN,,61771,61771/ 94,BHAGVAN DAS PAL,MP,INDORE,M
MPMAR00015,LOK JAGRAN,,38476,38476/ 83,RAM RAO DESHMUKH,MP,INDORE,W
MPHIN28066,PRAKHAR VAISHYA - PRAKHAR RASHTRA VAISHYA JAGRAN,,121752,MPHIN/2012/49197,RAKESH GUPTA,MP,JABALPUR,M
MPHIN07422,JABALPUR JAGRAN,,13023,13023/ 66,NARESH KUMAR BAJPAI,MP,JABALPUR,W
MPHIN39082,RASHTRIYA JAN JAGRAN,,,,ABHINAV BHADRETYA,MP,RAISEN,D
MPHIN14806,RASTRA JAGRAN,,22183,22183/ 70,RAM NARAYAN SHASTRI,MP,RATLAM,M
MPBIL02552,VIDHHYA JAGRAN,,,,GYANENDRA KUMAR AGNIHOTRI,MP,REWA,DF
MPHIN11647,ANCHALIK JAGRAN,,66491,66491/ 95,SHYAM CHATURVEDI,MP,VIDISHA,OP
MPHIN35196,SHRUTLEKH JAGRAN,???????? ?????,150200,MPHIN/2019/77645,RANJEET SONI,MP,VIDISHA,W
MPHIN33793,VIDISHA JAGRAN,?????? ?????,145172,MPHIN/2017/72617,ARUN SHRIVASTAVA,MP,VIDISHA,W
ODIODI03795,SANSKRUTHIKA JAGRAN,,66412,66412/ 96,HINDU JAGARANA SAMUKHYA,ODI,CUTTACK,F
PUNPUN04291,AAGAJ JAGRAN,,,,SUKHWINDER KAUR,PUN,FATEHGARH SAHIB,OP
PUNMUL00717,ADHYAPAK JAGRAN,,10172,10172/ 65,GOPAL KRISHAN CHATRA,PUN,GURDASPUR,F
PUNPUN03799,PUNJABI JAGRAN,,113173,PUNPUN/2011/40616,JAGRAN PRAKASHAN LTD,PUN,JALANDHAR,D
PUNPUN04002,YOUTH JAGRAN,??? ?????,134580,PUNPUN/2015/62025,SURJIT KHARBANDA,PUN,LUDHIANA,M
RAJHIN07775,AJMER JAGRAN,????? ?????,54657,54657/ 92,JITENDRA KUMAR NARSINGHANI,RAJ,AJMER,W
RAJHIN06338,JAGRAN,?????,3806,3806/ 58,BHAVANENDRA BARUA,RAJ,AJMER,W
RAJHIN07368,VIR BHARAT HADOTI JAGRAN,,56188,56188/ 92,ANIL KUMAR SHRIVASTA,RAJ,BARAN,F
RAJHIN06232,AMARJAGRAN SAMRAT,,48830,48830/ 90,JEEVAN SINGH KHANGROAT,RAJ,JAIPUR,A
RAJHIN10624,ADHIMAIK PUNJAGRAN,,57764,57764/ 93,NOT GIVEN,RAJ,JAIPUR,F
RAJHIN15260,CHAITANYA JAGRAN,,107615,RAJHIN/2010/35058,PREMCHAND DHAMNIYA,RAJ,JAIPUR,M
RAJHIN13652,MARUTHAR JAGRAN,?????? ?????,91632,RAJHIN/2007/19075,KAMLESH KALLA,RAJ,JODHPUR,F
RAJHIN12806,BRAHMAN JAGRAN,,86344,RAJHIN/2004/13787,SUNITA VYAS,RAJ,JODHPUR,F
RAJHIN16943,PUNARJAGRAN SANDESH,?????????? ??????,130468,RAJHIN/2014/57913,AJIT KUMAR SINGH,RAJ,JODHPUR,M
RAJHIN09487,JAIN JAGRAN ABHIYAN,,84634,RAJHIN/2004/12077,RANI MEHTA,RAJ,JODHPUR,M
RAJHIN15032,SAI JAGRAN,???? ?????,108219,RAJHIN/2010/35662,PUSPENDRA SINGH MEENA,RAJ,PALI,W
RAJHIN27860,AUDICHYA JAGRAN,,,,MOTILAL SHARMA,RAJ,UDAIPUR,BM
TELENG00433,JAN JAGRAN YOGIC SCIENCES,,52757,52757/ 91,A. LOKENDER REDDY,TEL,HYDERABAD,M
UPHIN41436,JAISWAL JAIN JAGRAN,,114289,UPHIN/2011/41732,AKHIL BHARATIYA SHREE DIGAMBER JAISWAL JAIN (UPROCHIYA)SEWA NYAS.AGRA.,UP,AGRA,M
UPHIN05173,JYOTI JAGRAN,,48002,48002/ 88,KANTI SWARUP BANDHU,UP,ALIGARH,D
UPHIN51347,DEEPOTSAV JAGRAN,,,,DHARMPAL SINGH,UP,AYODHYA,D
UPHIN49261,ABHYUDAYA JAGRAN,,,,VIVEK SHUKLA,UP,BAHARAICH,D
UPHIN50112,SWADEEP JAGRAN,,,,DEEPAK KUMAR TIWARI,UP,BALLIA,D
UPHIN49536,ARYAVART JAGRAN,,,,LAVKUSH SHARAN,UP,BARABANKI,W
UPBIL05192,NAVSWAR JAGRAN,,,,DEVENDRA KUMAR SHARMA,UP,BAREILLY,M
UPHIN42918,LAKSHYA JAGRAN,?????? ?????,129341,UPHIN/2012/56786,SATYAVEER PRAJAPATI,UP,BAREILLY,W
UPHIN20546,JANTA JAGRAN SHAKTI,,62604,62604/ 95,MOHAN KUMAR KHANDELWAL,UP,BAREILLY,W
UPHIN41953,JAN SHAKTI JAGRAN,,118793,UPHIN/2012/46236,BHRIGUNATH TRIPATHI,UP,BASTI,M
UPHIN06410,LODHI JAGRAN,,13519,13519/ 67,LODHI RAJPOOT ZILA SAMAJ,UP,ETAH,M
UPHIN33973,KRANTI JAGRAN,??????? ?????,88612,UPHIN/2005/16055,"RAJIV SHARMA""RAJ""",UP,ETAH,W
UPHIN49748,KUTUMB JAGRAN,,,,GEETA PANDEY,UP,FAIZABAD,D
UPHIN27349,SWATANTRA JAGRAN,,43388,43388/ 15,DURGA PRASAD,UP,GORAKHPUR,D
UPHIN04961,JALAUN JAGRAN,????? ?????,33104,33104/ 78,VINOD KUMAR MISHRA,UP,JALAUN,M
UPHIN49761,MORNING JAGRAN SAMACHAR,,,,JAYRAM,UP,JALAUN/ ORAI,BM
UPHIN14758,SURYA JAGRAN,,43362,43362/ 84,SURENDRA KUMAR AGARWAL,UP,JALAUN/ ORAI,D
UPHIN05010,JAUNPUR JAGRAN,?????? ?????,46222,46222/ 87,OM PRAKASH SINGH,UP,JAUNPUR,W
UPHIN20717,JAGTA RAHEGA JAGRAN,,63847,63847/ 95,CHANDRASEKHAR PANDAY,UP,JHANSI,W
UPHIN05847,KHAS JAGRAN,,40304,40304/ 83,B. P. MISHRA,UP,KANPUR,W
UPHIN46248,MANOHAR JAGRAN,????? ?????,135550,UPHIN/2015/62995,LAKHAN LAL PANDEY,UP,KANPUR DEHAT,W
UPENG04360,JAGRAN JOURNAL OF MANAGEMENT AND TECHNOLOGY,,150759,UPENG/2019/78204,JAGRAN INSTITUTE OF MANAGEMENT,UP,KANPUR NAGAR,A
UPBIL03521,JAGRAN JOSH,????? ???,100015,UPBIL/2007/27458,JAGRAN PRAKASHAN LTD,UP,KANPUR NAGAR,M
UPHIN35734,JAGRAN KHET KHALIHAN,????? ??? ??????,92330,UPHIN/2007/19773,JAGRAN PRAKASHAN LTD,UP,KANPUR NAGAR,M
UPHIN40453,DALIT JAGRAN TIMES,???? ????? ??????,105941,UPHIN/2010/33384,DHEERAJ CHOWDHARY,UP,KANPUR NAGAR,W
UPHIN45776,SUPRABHAT JAGRAN,???????? ?????,131463,UPHIN/2014/58908,ANKITA KAPOOR,UP,LUCKNOW,D
UPHIN38574,SANDHYA JAGRAN,,51801,51801/ 90,JAGRAN PRAKASHAN LTD.,UP,LUCKNOW,D
UPHIN51328,SWARAJ JAGRAN,,,UR,SHASHI SHANKAR TIWARI,UP,LUCKNOW,D
UPBIL05259,VINDHYAVASHINI JAGRAN,???????????? ?????,156841,UPBIL/2023/84286,RAO AJIT KUMAR SINGH,UP,LUCKNOW,D
UPHIN50663,VASUNDHARA JAGRAN,??????? ?????,156719,UPHIN/2023/84164,NEETA DEVI,UP,LUCKNOW,D
UPHIN51237,GYAN JAGRAN,,,UR,PRITHVI PAL,UP,LUCKNOW,D
UPHIN51047,LUCKNOW JANHIT JAGRAN,???? ????? ?????,157689,UPHIN/2021/85134,K.K. SINGH,UP,LUCKNOW,D
UPHIN50181,JAGRAN MORCHA,????? ??????,155298,UPHIN/2022/82743,KIRAN DIXIT,UP,LUCKNOW,D
UPHIN50202,SWABHIMAN JAGRAN,????????? ?????,156731,UPHIN/2021/84176,MANISH SRIVASTAVA,UP,LUCKNOW,D
UPHIN28160,NIRBHIK RASHTRIYA PUNARJAGRAN,,72354,72354/ 99,ALKA SHUKLA,UP,LUCKNOW,F
UPHIN50457,SARANSH JAGRAN,?????? ?????,156459,UPHIN/2022/83904,SHAILENDRA DIXIT,UP,LUCKNOW,F
UPHIN47436,AWADH JAGRAN,??? ?????,140477,UPHIN/2016/67922,ABHISHEK SHARMA,UP,LUCKNOW,M
UPHIN50917,YUG JAGRAN TIMES,,,,MOHAN KUMAR BHARATYA,UP,LUCKNOW,M
UPHIN08047,PAL KSHATRIYA JAGRAN,,13568,13568/ 66,VIJAYENDRA SINGH PAL,UP,LUCKNOW,M
UPHIN08884,PROD JAGRAN,,51107,51107/ 87,SEVA GRAM JOURNAL LUCKNOW SANSTHA,UP,LUCKNOW,M
UPHIN49681,UDYOG JAGRAN,???? ?????,157274,UPHIN/2021/84719,YOGENDRA TRIPATHI,UP,LUCKNOW,M
UPHIN42795,SRISHTI JAGRAN TIMES,?????? ????? ??????,121797,UPHIN/2012/49242,CHANDRA KISHORE SHARMA,UP,LUCKNOW,W
UPHIN48914,JANTA JAGRAN JANSABHA,???? ????? ?????,151911,UPHIN/2019/79356,KUSUM GUPTA,UP,LUCKNOW,W
UPHIN14172,MAHILA JAGRAN,,4891,4891/ 57,BRAHMA CHARNI KRISHNA BAIL,UP,MATHURA,F
UPBIL05145,GINVANI JAGRAN,,,,MANOG JAIN,UP,MEERUT,BM
UPHIN18017,SAHARA JAGRAN TIMES,,56929,56929/ 93,ANAND GARG,UP,MEERUT,W
UPHIN40475,SRISHTI JAGRAN,?????? ?????,104945,UPHIN/2010/32388,RADHESHYAM LAL KARAN,UP,RAIBAREILLY,D
UPHIN50735,SHRI DEVVANSH JAGRAN,,,,ASHEESH KUMAR,UP,RAIBAREILLY,HY
UPHIN09200,RAMPUR JAGRAN,,23377,23377/ 72,RAJESHWARI CHOUDHARI,UP,RAMPUR,W
UPHIN44593,VAIDIK JAGRAN,????? ?????,129845,UPHIN/2014/57290,VIJAY PAL,UP,SAHARANPUR,M
UPHIN50689,JAGRAN GAON DEHAT KHABAR,????? ??? ????? ???,159106,UPHIN/2023/86551,ANJANI KUMAR,UP,SULTANPUR,D
UPHIN41035,NARI JAGRAN,???? ?????,107375,UPHIN/2010/34818,MEENA CHAUBEY,UP,VARANASI,M
UPHIN46713,BHARATIYA JAN JAGRAN KARM PATH,?????? ?? ????? ???? ??,144148,UPHIN/2016/71593,MANOJ KUMAR SRIVASTAVA,UP,VARANASI,M
UTTHIN03359,DEVBHOOMI JAGRAN,??????? ?????,122913,UTTHIN/2013/50358,ARACHNA DIXIT,UTT,DEHRADUN,M
UTTHIN00913,HIMALAYA JAGRAN,?????? ?????,94272,UTTHIN/2007/21715,SATENDRA SINGH NEGI,UTT,DEHRADUN,W
UTTHIN05712,JANJAGRAN SAMACHAR,,,,SUMIT KUMAR,UTT,DEHRADUN,W
UTTHIN02719,UTTRAKHAND JANJAGRAN,????????? ???????,116778,UTTHIN/2011/44221,SAROJINI SEMWAL,UTT,DEHRADUN,W
UTTHIN02793,JAGRAN JYOTI,????? ??????,117694,UTTHIN/2012/45137,JYOTI BHATT,UTT,DEHRADUN,W
UTTHIN05350,JAN CHETNA JAGRAN,?? ????? ?????,158277,UTTHIN/2021/85722,RAMESHWARI SINGH,UTT,DEHRADUN,W
UTTHIN05410,SATAT JAGRAN,??? ?????,158319,UTTHIN/2022/85764,REKHA YADAV,UTT,HARIDWAR,W
WBHIN00332,JAIN JAGRAN,,30224,30224/ 77,AKHIL BHARATVARSHIYA DIGAMBER JAISWAL JAIN PARISHAD,WB,KOLKATA,F
NOF00025,ANUJA TIMES,,48613,48613/ 0,NOF,,,
NOF00028,NEEL GAGAN SAMACHAR TIMES,,58610,58610/ 94,NOT GIVEN,,,A
NOFHIN00548,AAP SUB KA SAHARA TIMES,,55677,55677/ 92,NOT GIVEN,,,W
NOFHIN00556,JAN JAGRAN TIMES,,62359,62359/ 94,NOT GIVEN,,,W
ANDENG00151,TODAY TIMES,???? ??????,125860,ANDENG/2013/53305,PRADEEP KUMAR,AND,PORT BLAIR,D
ANDENG00160,THE KING TIMES,? ???? ??????,136478,ANDENG/2015/63923,MOHD. SHAFIQUE,AND,PORT BLAIR,D
ANDENG00127,EMERALD TIMES,??????? ??????,113839,ANDENG/2011/41282,R. GURU,AND,PORT BLAIR,F
ANDENG00029,THE PORT BLAIR TIMES,? ????? ?????? ??????,63762,63762/ 96,DR P A MATHEWS,AND,PORT BLAIR,W
ANDENG00033,THE DAWN TIMES,? ??? ??????,64487,64487/ 96,P. GANESHAN,AND,SOUTH ANDAMAN/ PORT BLAIR,D
ANDENG00187,THE TIMES OF ANDAMAN,,,UR,REEYA CHAKRABORTY,AND,SOUTH ANDAMAN/ PORT BLAIR,D
ANDENG00052,NEW ISLAND TIMES,???? ?????? ??????,72242,72242/ 99,K P KANNAN,AND,SOUTH ANDAMAN/ PORT BLAIR,W
APTEL14486,SHANTHI TIMES,,135257,APTEL/2015/62702,REDDYPALLISIVA SRINIVASA KUMAR,AP,ANANTAPUR,D
APTEL15851,ANANTA TIMES,,153959,APTEL/2021/81404,JODU RAMESH KUMAR,AP,ANANTAPUR,D
APTEL16160,AKSHRA TIMES,,,UR,BABAN JAVEED BASHA,AP,ANANTAPUR,D
APTEL15581,KADIRI TIMES,,150631,APTEL/2018/78076,SHAIK.SHABBIR SAHEB,AP,ANANTAPUR,D
APTEL15823,BHAGAVAN TIMES,,,,GADDAM SREEDHAR,AP,ANANTAPUR,D
APTEL13506,SHAMBU TIMES,,126782,APTEL/2013/54227,ILLURI PARAMESWAR REDDY,AP,ANANTAPUR,F
APTEL12574,PENNA TIMES,,119501,APTEL/2012/46944,BILLE. AKKULAPPA,AP,ANANTAPUR,M
APTEL15887,VAMSI TIMES,,,,KADAPA MADHUSUDHANA,AP,ANANTAPUR,M
APTEL16462,PAVITRA TIMES,,,,VYKUNTAM PRABHAKAR CHOWDARY,AP,ANANTAPUR,M
APTEL12035,NANDU TIMES,,117380,APTEL/2012/44823,B. SUBRAMANYAM REDDY,AP,ANANTAPUR,M
APTEL12410,THE TIMES OF ADITHYA,,114958,APTEL/2012/42401,PULIKANTI NAGENDRANATHA REDDY,AP,ANANTAPUR,M
APTEL15107,KHADRI TIMES,,143230,APTEL/2016/70675,PUPPALA ANJANEYLU,AP,ANANTAPUR,M
APTEL14637,NEW MAMATHA TIMES,???? ???? ??????,137437,APTEL/2015/64882,M BALAVENKATAIAH,AP,ANANTAPUR,M
APTEL14921,TADIPATRI TIMES,,142695,APTEL/2016/70140,GORTHI JYOTHI,AP,ANANTAPUR,M
APTEL14259,SHALINI TIMES,?????? ??????,133866,APTEL/2015/61311,REDDYPALLISIVA SRINIVASA KUMAR,AP,ANANTAPUR,M
APTEL15674,PAMIDI TIMES,,149407,APTEL/2018/76852,CHAKALI SIVAPRASAD,AP,ANANTAPUR,M
APTEL14100,HARIKA TIMES,????? ??????,139032,APTEL/2016/66477,M. RAJASEKHAR REDDY,AP,ANANTAPUR,M
APTEL14563,KEERTHI TIMES,?????? ??????,136274,APTEL/2015/63719,K. SREENIVASULU,AP,ANANTAPUR,M
APTEL15448,HAPPY INDIA TIMES,,147939,APTEL/2017/75384,HAPPY INDIA TECHNOCORP PVT LTD,AP,ANANTAPUR,W
APBEN00010,PYRAMID TIMES,,69623,69623/ 98,DR. G.R. YUGANDHAR,AP,CHITTOOR,BM
APTEL10796,TIRUPATI HAPPY TIMES,??????? ?????? ??????,100340,APTEL/2009/27783,N. REDDEPPA NAIDU,AP,CHITTOOR,F
APTEL10268,ESWAR TIMES,,98822,APTEL/2008/26265,L. ESWAR,AP,CHITTOOR,M
APTEL14368,REGISTRATION TIMES,??????????? ??????,136230,APTEL/2015/63675,N.PURUSHOTHAM,AP,CHITTOOR,M
APBIL14868,TIMES OF TIRUPATI,,,,K. NETHAJI,AP,CHITTOOR/ TIRUPATI,M
APENG03116,ENVIRONMENT AND POLLUTION TIMES,,111412,APENG/2010/38855,N. PURUSHOTHAM,AP,CHITTOR,M
APENG03117,TOURISM TIMES,,111413,APENG/2010/38856,N. PURUSHOTHAM,AP,CHITTOR,M
APENG03118,JOURNALIST TIMES,,112925,APENG/2010/40368,N. PURUSHOTHAM,AP,CHITTOR,M
APTEL15545,RAJAMAHENDRAVARAM TIMES,,148643,APTEL/2018/76088,KUCHIMANCHI MADHULATHA,AP,EAST GODAVARI,D
APTEL16287,SAMAKALEENA ANDHRA TIMES,,160505,APTEL/2023/87950,NALLURI POSAGIRIBABU,AP,EAST GODAVARI,D
APBIL01702,KAKINADA TIMES,???????? ??????,106303,APBIL/2009/33746,NALLURI SRINIVASA RAO,AP,EAST GODAVARI,D
APTEL13482,GODAVARI TIMES,,129840,APTEL/2014/57285,ANANTHA RAO GOTTIMUKKALA,AP,EAST GODAVARI,D
APTEL14662,DIKHSUTCHI TIMES,,136148,APTEL/2014/63593,PARVADA ANJANEYULU,AP,EAST GODAVARI,D
APTEL15599,COASTA TIMES,,148358,APTEL/2018/75803,CHOPPALA DEEPIKA,AP,EAST GODAVARI,DE
APENG03534,TIMES IN THE CITY,,143460,APENG/2016/70905,VALLI BASHA MOHAMMAD,AP,EAST GODAVARI,W
APTEL16183,NAMBURI TIMES,,157745,APTEL/2023/85190,NAMBURI CHINA SAIDAIAH,AP,GUNTUR,D
APTEL09568,GUNTUR TIMES,?????? ??????,98358,APTEL/2008/25801,NELAVALLI SRINIVAS RAO,AP,GUNTUR,D
APTEL10863,PONNUR TIMES,??????? ??????,100749,APTEL/2009/28192,GOLLAMUDI RAMESH BABAU,AP,GUNTUR,D
APTEL15316,BAPATLA TIMES,,,UR,EAGAM VISHNU SAI PRASADA RAO,AP,GUNTUR,D
APTEL14184,NANDI TIMES,,129521,APTEL/2013/56966,G.S. SUNDARA SARMA,AP,GUNTUR,D
APBIL01928,SUJANA TIMES,,139004,APBIL/2015/66449,KATTA. SRINIVASULU,AP,GUNTUR,D
APTEL11255,SWARNAPURI TIMES,?????????? ??????,105430,APTEL/2010/32873,SUNDAR SINGH BODDU,AP,GUNTUR,D
APBIL01781,COMMERCE TIMES,,117248,APBIL/2012/44691,SRI KRISHNA NALAM,AP,GUNTUR,F
APTEL03436,LAW TIMES,?? ??????,3262,3262/ 57,GARIKIPATY VEERAIAH,AP,GUNTUR,F
APTEL14495,WEAVERS TIMES,,137794,APTEL/2015/65239,P.ARJUN,AP,GUNTUR,F
APTEL08135,THE TENALI TIMES,,83572,APTEL/2003/11015,LUKKA VENKATESWARA RAO,AP,GUNTUR,W
APENG03264,VIJAYAWADA TIMES,,126979,APENG/2013/54424,"BENNETT, COLEMAN & CO.LTD",AP,HYDERABAD,D
APENG03372,GREEN TIMES,,119371,APENG/2012/46814,MOHAMMED MEHDI ALI,AP,HYDERABAD,D
APENG03399,ARYAVART TIMES,,123973,APENG/2013/51418,RACHARLA ARJUN KUMAR,AP,HYDERABAD,D
APENG02277,THE TIMES OF INDIA,? ?????? ?? ???????,75685,TELENG/2000/03128,"BENNETT, COLEMAN & CO.LTD",AP,HYDERABAD,D
APTEL09706,TIMES OF VAARTHA,??????? ?? ??????,95385,UR,G. JANARDHAN REDDHY,AP,HYDERABAD,D
APURD01795,RIYAZ TIMES,,99307,APURD/2008/26750,MOHD. RIYAZ ALI,AP,HYDERABAD,D
APHIN00329,DESH BHAKT TIMES,,120498,APHIN/2013/47942,K. SATYANARAYANA,AP,HYDERABAD,D
APTEL11039,STATE TIMES,????? ??????,100243,APTEL/2008/27686,MULAKALA VISWA GINGA,AP,HYDERABAD,D
APURD01843,CHARMINAR TIMES,,109819,APURD/2010/37262,MD. SHUJA UDDIN IFTEQARI,AP,HYDERABAD,D
APTEL10319,BHUPATHI TIMES,????? ??????,95217,APTEL/2007/22660,BHUPATHI RAJU,AP,HYDERABAD,D
APENG02971,PRAGATHI TIMES,?????? ??????,97654,TELENG/2008/25097,AFROZ QURESHI,AP,HYDERABAD,D
APURD01882,NASER TIMES,,112595,APURD/2011/40038,JAHANGIR SULTANA,AP,HYDERABAD,D
APURD01953,ADAM TIMES,,120744,APURD/2012/48188,MOHD. AKBAR,AP,HYDERABAD,D
APENG03347,RIDA TIMES,,116800,UR,MOHAMMED KHAIRATH ALI,AP,HYDERABAD,D
APENG03431,SHALIMAR TIMES,,123919,APENG/2013/51364,SYED MUMTAZ MOHAMMED,AP,HYDERABAD,D
APENG03374,SANSANI TIMES,,119401,APENG/2012/46844,MOHD NAJMUDDIN,AP,HYDERABAD,D
